Empresa,Data,Abertura,Fechamento,Máxima,Mínima,Volume,Variação (%)
VALE3,2024-12-02,58.85,58.92,59.38,58.69,18972100,0.1189464740866615
VALE3,2024-12-03,59.3,58.47,59.36,58.47,15957500,-1.3996627318718353
VALE3,2024-12-04,58.4,57.33,58.48,56.96,25109200,-1.8321917808219184
VALE3,2024-12-05,57.46,57.8,57.8,56.87,14160000,0.5917159763313545
VALE3,2024-12-06,57.47,56.81,57.66,56.75,17897900,-1.148425265355832
VALE3,2024-12-09,58.5,59.83,60.19,58.37,40440600,2.2735042735042703
VALE3,2024-12-10,59.74,59.77,59.94,59.29,13089300,0.050217609641782956
VALE3,2024-12-11,59.5,58.84,59.59,58.45,30138500,-1.1092436974789859
VALE3,2024-12-12,57.4,56.71,57.68,56.67,28841800,-1.2020905923344907
VALE3,2024-12-13,56.48,55.86,56.71,55.7,18532800,-1.0977337110481542
VALE3,2024-12-16,55.85,55.83,56.54,55.34,18958500,-0.03581020590868957
VALE3,2024-12-17,55.88,56.11,56.4,55.65,22987600,0.4115962777380044
VALE3,2024-12-18,55.77,54.81,55.87,54.76,34658200,-1.7213555675094152
VALE3,2024-12-19,55.02,53.77,55.17,53.6,29529900,-2.271901126862959
VALE3,2024-12-20,53.42,54.62,54.62,53.33,64919500,2.2463496817671205
VALE3,2024-12-23,54.67,54.85,55.23,54.4,18587900,0.32924821657215975
VALE3,2024-12-26,54.85,55.01,55.4,54.4,13155800,0.2917046490428379
VALE3,2024-12-27,54.73,54.74,55.08,54.46,16635300,0.01827151470857869
VALE3,2024-12-30,54.9,54.55,55.19,54.55,11250900,-0.6375227686703123
VALE3,2025-01-02,54.71,54.25,55.1,54.23,17623900,-0.8407969292633902
VALE3,2025-01-03,53.9,53.24,54.0,52.88,23608700,-1.224489795918361
VALE3,2025-01-06,53.48,52.56,53.79,52.48,21689500,-1.7202692595362654
VALE3,2025-01-07,52.63,52.05,52.89,51.94,22070200,-1.1020330609918398
VALE3,2025-01-08,52.03,51.55,52.29,51.43,24423800,-0.922544685758224
VALE3,2025-01-09,52.05,51.23,52.25,51.14,15865200,-1.5754082612872244
VALE3,2025-01-10,51.54,51.52,52.31,51.23,25833900,-0.03880481179665506
VALE3,2025-01-13,52.0,51.51,52.31,50.87,30845300,-0.9423076923076961
VALE3,2025-01-14,51.95,51.85,52.43,51.63,21379000,-0.19249278152069568
VALE3,2025-01-15,52.14,52.6,52.68,51.63,35137700,0.8822401227464536
VALE3,2025-01-16,52.29,52.67,53.27,52.0,220262800,0.7267163893669967
VALE3,2025-01-17,53.15,54.49,54.49,52.98,54658700,2.521166509877711
VALE3,2025-01-20,54.22,54.29,54.49,53.76,12317600,0.1291036517890083
VALE3,2025-01-21,54.29,54.02,54.32,53.25,28798700,-0.49732915822434337
VALE3,2025-01-22,54.28,52.66,54.29,52.42,34645400,-2.9845246868091464
VALE3,2025-01-23,52.95,52.32,52.99,51.84,25097300,-1.1898016997167187
VALE3,2025-01-24,52.6,53.03,53.19,52.6,20520600,0.8174904942965774
VALE3,2025-01-27,52.89,53.96,53.98,52.57,24531300,2.0230667422953306
VALE3,2025-01-28,53.59,52.65,53.78,52.54,22932900,-1.754058593021095
VALE3,2025-01-29,52.8,52.8,53.51,52.63,19220300,0.0
VALE3,2025-01-30,53.3,55.03,55.6,53.28,40562400,3.245778611632278
VALE3,2025-01-31,54.99,54.17,55.21,54.0,25477600,-1.4911802145844704
VALE3,2025-02-03,53.73,54.21,54.28,53.33,27216400,0.8933556672250215
VALE3,2025-02-04,54.13,54.02,54.71,53.81,32648700,-0.20321448365047
VALE3,2025-02-05,53.91,54.31,54.46,53.86,21674800,0.741977369690235
VALE3,2025-02-06,55.4,55.13,55.64,54.97,32789000,-0.48736462093862093
VALE3,2025-02-07,55.3,54.83,55.78,54.56,24395500,-0.8499095840867973
VALE3,2025-02-10,54.87,55.4,55.4,54.84,15566300,0.9659194459631879
VALE3,2025-02-11,54.91,55.16,55.19,54.39,18198300,0.4552904753232562
VALE3,2025-02-12,55.01,54.79,55.29,54.7,35432600,-0.39992728594800736
VALE3,2025-02-13,54.85,54.86,55.0,54.13,21749900,0.018231540565174127
VALE3,2025-02-14,55.22,55.67,55.81,55.0,49803200,0.8149221296631707
VALE3,2025-02-17,55.64,55.37,55.92,55.28,12391400,-0.4852624011502572
VALE3,2025-02-18,55.6,55.74,55.97,55.51,27608200,0.2517985611510802
VALE3,2025-02-19,55.3,55.69,55.73,54.72,26472500,0.7052441229656431
VALE3,2025-02-20,56.8,57.74,58.16,56.48,76934000,1.6549295774647972
VALE3,2025-02-21,57.9,58.16,58.16,57.56,37134700,0.44905008635578236
VALE3,2025-02-24,58.1,57.63,58.57,57.48,19081700,-0.8089500860585179
VALE3,2025-02-25,57.3,57.07,57.44,56.89,19554800,-0.4013961605584588
VALE3,2025-02-26,57.37,56.72,57.69,56.72,25399100,-1.1329963395502851
VALE3,2025-02-27,56.45,56.3,56.99,56.01,18658000,-0.26572187776794626
