Empresa,Data,Abertura,Fechamento,Máxima,Mínima,Volume,Variação (%)
PETR4,2024-12-02,38.9,39.15,39.4,38.77,31711800,0.6426735218508998
PETR4,2024-12-03,39.4,39.5,39.5,39.08,22536200,0.2538071065989884
PETR4,2024-12-04,39.5,39.25,39.86,38.98,31584400,-0.6329113924050633
PETR4,2024-12-05,39.39,39.64,39.81,39.21,25214200,0.6346788525006346
PETR4,2024-12-06,39.64,39.03,39.7,38.96,31118500,-1.538849646821391
PETR4,2024-12-09,39.38,40.04,40.17,39.36,28548700,1.6759776536312763
PETR4,2024-12-10,40.3,40.19,40.43,40.11,21837600,-0.2729528535980135
PETR4,2024-12-11,40.35,40.59,40.76,39.95,46900900,0.5947955390334622
PETR4,2024-12-12,38.72,38.34,38.89,38.12,38310600,-0.9814049586776742
PETR4,2024-12-13,38.6,38.1,38.73,37.92,23235400,-1.2953367875647668
PETR4,2024-12-16,38.19,37.94,38.26,37.83,21349400,-0.6546216286986122
PETR4,2024-12-17,37.94,38.3,38.49,37.83,39617200,0.9488666315234565
PETR4,2024-12-18,38.28,37.31,38.4,37.31,58126400,-2.5339602925809794
PETR4,2024-12-19,37.66,37.16,37.93,36.98,43268400,-1.327668613913967
PETR4,2024-12-20,37.16,36.85,37.35,36.71,59277400,-0.8342303552206545
PETR4,2024-12-23,37.0,36.86,37.05,36.72,43785600,-0.37837837837837995
PETR4,2024-12-26,35.63,35.77,36.0,35.6,22920700,0.39292730844793866
PETR4,2024-12-27,36.0,35.66,36.0,35.61,24167200,-0.944444444444454
PETR4,2024-12-30,35.78,36.19,36.37,35.77,22355600,1.1458915595304544
PETR4,2025-01-02,36.42,36.77,37.09,36.19,30046800,0.9610104338275711
PETR4,2025-01-03,36.88,36.38,37.04,36.32,23314200,-1.3557483731019522
PETR4,2025-01-06,36.6,36.21,36.69,36.06,23760200,-1.0655737704918047
PETR4,2025-01-07,36.55,36.98,37.25,36.3,37753300,1.1764705882352935
PETR4,2025-01-08,36.99,36.68,37.12,36.43,24483500,-0.8380643417139828
PETR4,2025-01-09,36.7,36.84,36.97,36.7,11526600,0.3814713896457781
PETR4,2025-01-10,37.25,36.94,37.52,36.9,40328800,-0.8322147651006773
PETR4,2025-01-13,37.3,37.07,37.53,36.97,22897100,-0.6166219839142009
PETR4,2025-01-14,37.11,36.82,37.13,36.58,29173100,-0.7814605227701406
PETR4,2025-01-15,36.93,37.29,37.32,36.8,32512700,0.9748172217709165
PETR4,2025-01-16,37.21,37.05,37.24,36.77,26733200,-0.429991937651179
PETR4,2025-01-17,37.01,37.2,37.4,36.85,39941100,0.5133747635774246
PETR4,2025-01-20,37.22,37.29,37.43,37.11,13912800,0.18807092960773855
PETR4,2025-01-21,37.1,37.3,37.35,36.72,23612200,0.539083557951471
PETR4,2025-01-22,37.36,37.09,37.63,37.03,21832200,-0.7226980728051285
PETR4,2025-01-23,37.12,36.83,37.41,36.7,26725700,-0.7812499999999978
PETR4,2025-01-24,36.88,36.64,36.9,36.4,16216500,-0.6507592190889424
PETR4,2025-01-27,36.57,37.18,37.3,36.47,29809700,1.6680339075745132
PETR4,2025-01-28,37.4,37.13,37.49,36.88,27621700,-0.721925133689829
PETR4,2025-01-29,37.2,36.9,37.33,36.76,18204400,-0.8064516129032372
PETR4,2025-01-30,37.04,37.39,37.51,36.8,30916000,0.94492440604752
PETR4,2025-01-31,37.39,37.69,38.37,37.25,37044800,0.802353570473381
PETR4,2025-02-03,37.76,37.5,37.81,37.38,24877600,-0.6885593220338931
PETR4,2025-02-04,37.3,37.13,37.35,36.82,34290300,-0.4557640750670097
PETR4,2025-02-05,37.05,36.86,37.07,36.75,20539800,-0.5128205128205068
PETR4,2025-02-06,36.84,36.79,37.12,36.7,17512400,-0.1357220412595121
